Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_018,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40821,2,8,83.51,808.65
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_019,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40836,2,8,82.67,783.52
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_020,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40612,2,8,83.98,811.43
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_021,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40838,2,8,83.59,806.32
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_022,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40901,2,8,83.74,814.84
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_023,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40817,2,8,83.81,801.26
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_024,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40826,2,8,83.0,794.36
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_025,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40972,2,8,83.28,788.58
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_026,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40963,2,8,83.44,815.67
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_027,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40886,2,8,83.08,803.41
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_028,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40720,2,8,83.18,806.47
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_029,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40941,2,8,82.87,812.69
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_030,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40972,2,8,83.04,784.93
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_031,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40921,2,8,83.02,798.71
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_032,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40839,2,8,82.83,792.03
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_033,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40890,2,8,82.91,780.78
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_034,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40891,2,8,83.92,797.22
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_035,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40785,2,8,83.3,789.16
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_036,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40810,2,8,83.36,802.34
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_037,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40841,2,8,83.39,797.81
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_038,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40976,2,8,82.48,775.94
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_039,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40904,2,8,83.25,793.25
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_040,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40808,2,8,82.72,798.47
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_041,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40747,2,8,82.68,798.59
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_042,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40773,2,8,82.9,789.75
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_043,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40917,2,8,83.12,798.5
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_044,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40869,2,8,83.68,799.73
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_045,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40925,2,8,83.82,811.58
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_046,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40867,2,8,82.93,786.46
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_047,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40866,2,8,82.73,776.3
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_048,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40836,2,8,83.68,791.37
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_049,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40796,2,8,83.04,793.78
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_050,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40916,2,8,83.52,814.18
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_051,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40938,2,8,83.5,797.98
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_052,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40832,2,8,83.21,800.52
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_053,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40782,2,8,83.16,796.28
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_054,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40939,2,8,83.56,798.96
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_055,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40914,2,8,83.61,801.65
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_056,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40871,2,8,83.24,809.32
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_057,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40905,2,8,83.31,798.8
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_058,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40915,2,8,83.74,826.14
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_059,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40811,2,8,83.05,793.47
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_060,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40862,2,8,82.93,796.51
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_061,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40821,2,8,83.32,789.16
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_062,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,41086,2,8,83.46,807.94
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_063,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40803,2,8,82.8,788.43
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_064,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40901,2,8,83.49,811.41
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_065,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40934,2,9,84.2,815.74
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_066,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40969,2,9,84.21,814.85
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_067,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40955,2,8,82.85,789.59
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_068,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40924,2,9,84.67,833.53
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_069,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40597,2,8,82.84,794.94
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_070,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40941,2,8,83.64,819.85
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_071,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40561,2,8,83.26,799.34
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_072,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40959,2,8,83.04,793.33
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_073,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40837,2,8,83.74,809.45
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_074,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40907,2,9,84.19,819.9
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_075,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40897,2,8,82.68,795.75
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_076,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40863,2,9,84.17,811.01
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_077,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40914,2,8,82.86,789.44
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_078,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40840,2,8,83.94,791.39
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_079,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40856,2,8,82.77,798.12
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_080,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40872,2,8,82.68,790.76
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_081,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40887,2,8,83.37,802.94
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_082,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40874,2,9,83.97,810.14
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_083,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40838,2,8,83.48,801.45
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_084,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40888,2,8,83.87,808.13
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_085,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40816,2,8,83.29,789.29
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_086,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40969,2,9,84.43,841.4
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_087,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40924,2,9,84.43,813.18
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_088,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,41019,2,9,84.32,812.25
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_089,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40866,2,8,82.85,785.61
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_090,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40877,2,9,84.13,820.15
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_091,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40700,2,8,83.25,775.12
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_092,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40894,2,8,83.29,780.35
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_093,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40889,2,8,83.34,797.16
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_094,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40840,2,8,83.49,820.27
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_095,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40599,2,8,83.19,787.64
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_096,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40886,2,8,83.24,806.74
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_097,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40926,2,8,82.8,790.84
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_098,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40959,2,8,83.19,806.75
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_099,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40917,2,8,83.38,782.56
